ma_id,review_id,k,total_n,estimate,p_value,significant,pi_crosses_null,robustness,n_audit_fails,has_pub_bias,verdict,failed_criteria
CD001533_pub7_data__A4,CD001533,27,2483,-0.803108,4.4e-05,True,True,Moderate,2,False,NOT YET,prediction_interval;audit_flags
CD001533_pub7_data__A5,CD001533,68,7342,-0.141664,0.127716,False,True,Moderate,1,False,NOT YET,significance;prediction_interval;audit_flags
CD001533_pub7_data__A6,CD001533,1,94,0.0,1.0,False,False,Moderate,0,False,NOT YET,significance;evidence_volume
CD001533_pub7_data__A7,CD001533,1,56,-2.513408,0.094472,False,False,Moderate,0,False,NOT YET,significance;evidence_volume
CD001552_pub3_data__A1,CD001552,10,795,-0.118344,0.812558,False,True,Unstable,2,False,NOT YET,significance;prediction_interval;robustness;audit_flags
CD001552_pub3_data__A2,CD001552,13,918,1.019016,0.038397,True,True,Unstable,2,False,NOT YET,prediction_interval;robustness;audit_flags
CD001552_pub3_data__A3,CD001552,11,809,-0.010621,0.98612,False,True,Unstable,1,True,NOT YET,significance;prediction_interval;robustness;audit_flags;pub_bias
CD001552_pub3_data__A4,CD001552,8,668,0.186983,0.800661,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness
CD001552_pub3_data__A5,CD001552,8,801,0.224725,0.761538,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness
CD001552_pub3_data__A6,CD001552,8,756,-0.691477,0.367116,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness
CD001552_pub3_data__A7,CD001552,5,568,0.763684,0.419625,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness
CD001552_pub3_data__A8,CD001552,4,453,0.66733,0.111367,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD001552_pub3_data__A9,CD001552,4,372,-0.392623,0.635145,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD001552_pub3_data__A10,CD001552,6,659,-1.853181,0.12728,False,True,Unstable,1,False,NOT YET,significance;prediction_interval;robustness;audit_flags
CD001552_pub3_data__A11,CD001552,1,163,-0.566776,0.260738,False,False,Unstable,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A1,CD001703,8,1502,-0.075901,0.918159,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD001703_pub4_data__A2,CD001703,16,2122,-0.141586,0.782219,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD001703_pub4_data__A3,CD001703,1,146,0.027213,0.989181,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A4,CD001703,6,1348,-0.405456,0.641738,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD001703_pub4_data__A5,CD001703,1,92,0.086075,0.965855,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A6,CD001703,4,330,0.060597,0.955812,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD001703_pub4_data__A7,CD001703,1,146,0.027213,0.989181,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A8,CD001703,4,613,-0.60451,0.589604,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD001703_pub4_data__A9,CD001703,1,92,0.086075,0.965855,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A10,CD001703,2,194,0.02527,0.988685,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A11,CD001703,1,118,-0.067252,0.973287,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A12,CD001703,1,40,-0.097638,0.96153,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A13,CD001703,6,1401,-0.424571,0.626395,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD001703_pub4_data__A14,CD001703,2,194,0.02527,0.988685,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A15,CD001703,1,118,-0.067252,0.973287,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A16,CD001703,3,155,-0.010798,0.993454,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD001703_pub4_data__A17,CD001703,2,71,-0.246618,0.892756,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A18,CD001703,1,60,0.0,1.0,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A19,CD001703,2,122,0.0,1.0,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A20,CD001703,2,71,-0.246618,0.892756,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A21,CD001703,1,60,0.0,1.0,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A22,CD001703,1,62,0.0,1.0,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A23,CD001703,1,11,-0.510826,0.806638,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A24,CD001703,1,11,-0.510826,0.806638,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001703_pub4_data__A25,CD001703,18,2143,0.537899,0.013074,True,True,Fragile,1,False,NOT YET,prediction_interval;robustness;audit_flags
CD001703_pub4_data__A26,CD001703,10,1694,0.27698,0.477172,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD001703_pub4_data__A27,CD001703,22,2502,0.925333,1e-05,True,False,Fragile,0,False,NOT YET,robustness
CD001797_pub4_data__A1,CD001797,8,375,1.141017,0.007785,True,True,Fragile,1,False,NOT YET,prediction_interval;robustness;audit_flags;evidence_volume
CD001797_pub4_data__A2,CD001797,4,147,-0.229591,0.672637,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD001797_pub4_data__A3,CD001797,5,181,0.883095,0.171731,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD001797_pub4_data__A4,CD001797,7,318,-0.13019,0.870778,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD001797_pub4_data__A5,CD001797,3,89,-0.090823,0.949734,False,True,Fragile,1,False,NOT YET,significance;prediction_interval;robustness;audit_flags;evidence_volume
CD001797_pub4_data__A6,CD001797,5,191,-0.431028,0.614745,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD001797_pub4_data__A7,CD001797,4,144,0.759204,0.213538,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD001797_pub4_data__A8,CD001797,2,163,-0.855974,0.382633,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD001797_pub4_data__A9,CD001797,3,315,-0.238351,0.658519,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD001797_pub4_data__A10,CD001797,3,308,1.570085,0.031524,True,True,Fragile,1,False,NOT YET,prediction_interval;robustness;audit_flags;evidence_volume
CD001837_pub4_data__A1,CD001837,110,39320,0.371043,0.0,True,True,Fragile,4,True,NOT YET,prediction_interval;robustness;audit_flags;pub_bias
CD001837_pub4_data__A2,CD001837,20,10711,0.231891,0.002284,True,True,Fragile,1,False,NOT YET,prediction_interval;robustness;audit_flags
CD001837_pub4_data__A3,CD001837,7,1232,0.328609,0.052647,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD001837_pub4_data__A4,CD001837,7,5610,0.248697,0.015381,True,False,Fragile,0,False,NOT YET,robustness
CD001909_pub4_data__A1,CD001909,51,6048,0.673342,0.0,True,False,Robust,0,False,ACTIONABLE,
CD001909_pub4_data__A2,CD001909,25,3090,0.353635,0.022818,True,True,Robust,3,True,NOT YET,prediction_interval;audit_flags;pub_bias
CD001909_pub4_data__A3,CD001909,24,2874,0.711401,0.004547,True,True,Robust,2,False,NOT YET,prediction_interval;audit_flags
CD001909_pub4_data__A4,CD001909,12,1486,0.668293,0.003526,True,False,Robust,0,False,ACTIONABLE,
CD001909_pub4_data__A5,CD001909,13,1768,0.360774,0.086736,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD001909_pub4_data__A6,CD001909,3,944,1.618838,0.023307,True,True,Robust,1,False,NOT YET,prediction_interval;audit_flags;evidence_volume
CD001909_pub4_data__A7,CD001909,5,1386,0.164125,0.288045,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD001920_pub4_data__A1,CD001920,219,19079,-0.042121,0.757753,False,True,Robust,1,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD001920_pub4_data__A2,CD001920,279,27657,-0.05989,0.620428,False,True,Robust,1,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD001920_pub4_data__A3,CD001920,207,15536,-0.04745,0.73578,False,True,Robust,1,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD001920_pub4_data__A4,CD001920,244,20432,-0.04649,0.719873,False,True,Robust,1,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD001920_pub4_data__A5,CD001920,141,13607,-0.218259,0.093125,False,True,Robust,2,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD001920_pub4_data__A6,CD001920,168,16197,0.144147,0.307436,False,True,Robust,1,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD001920_pub4_data__A7,CD001920,124,11937,-0.048287,0.790273,False,True,Robust,1,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD001920_pub4_data__A8,CD001920,15,743,0.128257,0.810143,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD001920_pub4_data__A9,CD001920,12,416,0.028985,0.961571,False,True,Robust,1,True,NOT YET,significance;prediction_interval;audit_flags;evidence_volume;pub_bias
CD001920_pub4_data__A10,CD001920,16,630,0.039451,0.939296,False,True,Robust,1,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD001920_pub4_data__A11,CD001920,1,40,0.0,1.0,False,False,Robust,0,False,NOT YET,significance;evidence_volume
CD002042_pub6_data__A1,CD002042,57,28357,-2.358465,0.0,True,True,Robust,3,True,NOT YET,prediction_interval;audit_flags;pub_bias
CD002042_pub6_data__A2,CD002042,59,28549,-2.422888,0.0,True,True,Robust,3,True,NOT YET,prediction_interval;audit_flags;pub_bias
CD002042_pub6_data__A3,CD002042,42,24215,-2.40144,0.0,True,True,Robust,3,True,NOT YET,prediction_interval;audit_flags;pub_bias
CD002042_pub6_data__A4,CD002042,48,22259,-2.210521,0.0,True,True,Robust,3,True,NOT YET,prediction_interval;audit_flags;pub_bias
CD002042_pub6_data__A5,CD002042,8,12039,0.182176,0.509416,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A6,CD002042,51,25146,0.017282,0.734247,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A7,CD002042,43,20360,-0.006395,0.918546,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A8,CD002042,51,23635,0.010187,0.841818,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A9,CD002042,48,23011,0.003702,0.944498,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A10,CD002042,47,24180,0.019055,0.727742,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A11,CD002042,33,21631,0.065189,0.418919,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A12,CD002042,31,15444,0.044077,0.447058,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A13,CD002042,19,8613,-0.142062,0.068098,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A14,CD002042,11,4881,0.111403,0.230779,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A15,CD002042,26,24797,0.032628,0.373246,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A16,CD002042,7,4661,0.139313,0.236328,False,True,Robust,1,False,NOT YET,significance;prediction_interval;audit_flags
CD002042_pub6_data__A17,CD002042,36,22426,0.107492,0.150907,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A18,CD002042,22,13974,-0.075469,0.537742,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A19,CD002042,29,20326,0.104693,0.236779,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A20,CD002042,39,23968,-0.019431,0.838978,False,True,Robust,1,False,NOT YET,significance;prediction_interval;audit_flags
CD002042_pub6_data__A21,CD002042,21,11734,-0.025623,0.689568,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A22,CD002042,19,12088,0.07919,0.22733,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A23,CD002042,13,6224,0.15589,0.227087,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A24,CD002042,12,7885,-0.026326,0.795245,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A25,CD002042,3,1505,-0.057288,0.840128,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD002042_pub6_data__A26,CD002042,15,6313,-0.111558,0.412057,False,True,Robust,2,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD002042_pub6_data__A27,CD002042,21,10491,-0.120864,0.389895,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A28,CD002042,12,7654,-0.12924,0.384745,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A29,CD002042,4,539,-0.276568,0.295621,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD002042_pub6_data__A30,CD002042,15,14026,-0.002097,0.963368,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A31,CD002042,9,7669,0.064936,0.567691,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD002042_pub6_data__A32,CD002042,10,6944,0.186229,0.041232,True,False,Robust,0,False,ACTIONABLE,
CD002042_pub6_data__A33,CD002042,18,11505,-0.611564,0.007201,True,True,Robust,1,False,NOT YET,prediction_interval;audit_flags
CD002042_pub6_data__A34,CD002042,10,8410,-0.72725,0.015251,True,True,Robust,1,False,NOT YET,prediction_interval;audit_flags
CD002052_pub4_data__A1,CD002052,4,288,0.6038,0.360688,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD002052_pub4_data__A2,CD002052,4,275,0.993216,0.176585,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD002052_pub4_data__A3,CD002052,6,350,-0.03789,0.917298,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD002052_pub4_data__A4,CD002052,4,195,-0.01134,0.991748,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD002052_pub4_data__A5,CD002052,3,135,-0.01514,0.990828,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD002052_pub4_data__A6,CD002052,4,168,0.98823,0.087,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD002052_pub4_data__A7,CD002052,5,228,0.378115,0.514624,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD002052_pub4_data__A8,CD002052,3,135,-0.01514,0.990828,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD002052_pub4_data__A9,CD002052,1,60,0.682218,0.322136,False,False,Robust,0,False,NOT YET,significance;evidence_volume
CD002052_pub4_data__A10,CD002052,1,60,1.007641,0.176857,False,False,Robust,0,False,NOT YET,significance;evidence_volume
CD002052_pub4_data__A11,CD002052,1,60,-1.495494,0.193529,False,False,Robust,0,False,NOT YET,significance;evidence_volume
CD002052_pub4_data__A12,CD002052,1,60,4.638941,0.001642,False,False,Robust,0,False,NOT YET,significance;evidence_volume
CD002112_pub2_data__A1,CD002112,64,4801,-0.171739,0.498525,False,True,Fragile,2,True,NOT YET,significance;prediction_interval;robustness;audit_flags;pub_bias
CD002112_pub2_data__A2,CD002112,95,7706,0.498422,8e-06,True,True,Fragile,5,True,NOT YET,prediction_interval;robustness;audit_flags;pub_bias
